Name,Team,Opp,Game_Date,Game_Time,Proj_PTS,Proj_REB,Proj_AST,Total_PRA
Brandon Ingram,Raptors,Lakers,2026-01-18,9:30 pm ET,17.83,6.01,2.88,26.71
Deandre Ayton,Lakers,Raptors,2026-01-18,9:30 pm ET,12.62,9.75,1.67,24.04
Collin Murray-Boyles,Raptors,Lakers,2026-01-18,9:30 pm ET,10.84,6.93,3.19,20.96
Jakob Poeltl,Raptors,Lakers,2026-01-18,9:30 pm ET,9.94,7.42,2.21,19.57
Jake LaRavia,Lakers,Raptors,2026-01-18,9:30 pm ET,12.59,3.91,2.59,19.09
Jamal Shead,Raptors,Lakers,2026-01-18,9:30 pm ET,10.88,2.37,5.83,19.08
Sandro Mamukelashvili,Raptors,Lakers,2026-01-18,9:30 pm ET,9.74,4.95,2.62,17.31
Marcus Smart,Lakers,Raptors,2026-01-18,9:30 pm ET,8.46,3.97,2.09,14.52
Rui Hachimura,Lakers,Raptors,2026-01-18,9:30 pm ET,8.24,3.36,1.37,12.98
Ja'Kobe Walter,Raptors,Lakers,2026-01-18,9:30 pm ET,6.88,2.84,1.15,10.87
Gabe Vincent,Lakers,Raptors,2026-01-18,9:30 pm ET,6.8,1.9,1.23,9.94
Jaxson Hayes,Lakers,Raptors,2026-01-18,9:30 pm ET,5.66,3.49,0.7,9.85
Jarred Vanderbilt,Lakers,Raptors,2026-01-18,9:30 pm ET,5.18,3.3,0.82,9.29
Christian Koloko,Lakers,Raptors,2026-01-18,9:30 pm ET,4.37,3.2,0.81,8.39
Gradey Dick,Raptors,Lakers,2026-01-18,9:30 pm ET,5.51,1.9,0.95,8.35
Ochai Agbaji,Raptors,Lakers,2026-01-18,9:30 pm ET,3.29,2.15,0.95,6.39
Nick Smith Jr.,Lakers,Raptors,2026-01-18,9:30 pm ET,4.11,1.08,0.97,6.17
Dalton Knecht,Lakers,Raptors,2026-01-18,9:30 pm ET,3.78,1.62,0.42,5.82
Maxi Kleber,Lakers,Raptors,2026-01-18,9:30 pm ET,2.81,1.8,0.88,5.49
Jamison Battle,Raptors,Lakers,2026-01-18,9:30 pm ET,2.84,1.31,0.63,4.78
Bronny James,Lakers,Raptors,2026-01-18,9:30 pm ET,1.49,0.48,0.41,2.38
